epoch,DE,E,I,loss,mse_odd_even_sol,y0,yL,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol,val_y0,val_yL
0,1.1820683312180336e-06,"""[0.69810134]""","""[0.0014072057]""",1.0054329633712769,1.0014071464538574,"""[[0.06420352]]""","""[[-0.06420352]]""",NA,NA,NA,NA,NA,NA,NA
1,1.0751150512078311e-06,"""[0.72552085]""","""[0.0011367097]""",1.0043818950653076,1.0011366605758667,"""[[0.05767562]]""","""[[-0.05767558]]""",NA,NA,NA,NA,NA,NA,NA
2,9.734920922710444e-07,"""[0.76003313]""","""[0.00089608296]""",1.0034476518630981,1.0008940696716309,"""[[0.05117562]]""","""[[-0.05117797]]""",NA,NA,NA,NA,NA,NA,NA
3,8.876752417563694e-07,"""[0.80455124]""","""[0.0006857018]""",1.0026319026947021,1.0004305839538574,"""[[0.04487203]]""","""[[-0.04459118]]""",NA,NA,NA,NA,NA,NA,NA
4,1.540241100883577e-06,"""[0.8616047]""","""[0.00050683547]""",1.0019348859786987,0.9984468221664429,"""[[0.03723605]]""","""[[-0.03949963]]""",NA,NA,NA,NA,NA,NA,NA
5,7.007218414400995e-07,"""[0.944434]""","""[0.0003553018]""",1.0013535022735596,1.0002158880233765,"""[[0.03219491]]""","""[[-0.03204242]]""",NA,NA,NA,NA,NA,NA,NA
6,1.5577180647596833e-06,"""[1.0565556]""","""[0.00023524511]""",1.0008875131607056,0.9983904361724854,"""[[0.02703536]]""","""[[-0.0250093]]""",NA,NA,NA,NA,NA,NA,NA
7,7.843925686756847e-07,"""[1.2383769]""","""[0.00014116526]""",1.0005288124084473,0.9993392825126648,"""[[0.02056503]]""","""[[-0.0196822]]""",NA,NA,NA,NA,NA,NA,NA
8,1.1058978088840377e-06,"""[1.5399864]""","""[7.407671e-05]""",1.000272512435913,0.9990081787109375,"""[[0.0138894]]""","""[[-0.01505559]]""",NA,NA,NA,NA,NA,NA,NA
9,9.331940873380518e-07,"""[2.1661625]""","""[3.0147754e-05]""",1.0001074075698853,0.9993188381195068,"""[[0.0087354]]""","""[[-0.00951334]]""",NA,NA,NA,NA,NA,NA,NA
10,5.428845724964049e-06,"""[3.936504]""","""[6.9902308e-06]""",1.0000263452529907,0.9989467859268188,"""[[0.00472025]]""","""[[-0.00355526]]""",NA,NA,NA,NA,NA,NA,NA
11,8.835456537781283e-05,"""[-3.709248]""","""[1.5213931e-07]""",1.0000885725021362,0.9993376731872559,"""[[-0.00077362]]""","""[[4.815314e-05]]""",NA,NA,NA,NA,NA,NA,NA
12,3.2988295970426407e-06,"""[-3.0160363]""","""[7.324653e-06]""",1.0000364780426025,0.9991629123687744,"""[[-0.0053331]]""","""[[0.00440591]]""",NA,NA,NA,NA,NA,NA,NA
13,7.056425488372042e-07,"""[-1.4808226]""","""[2.4354653e-05]""",1.0001059770584106,0.9999166131019592,"""[[-0.00883313]]""","""[[0.00871186]]""",NA,NA,NA,NA,NA,NA,NA
14,7.000853656791151e-07,"""[-0.9406707]""","""[4.703058e-05]""",1.0001980066299438,0.9994640946388245,"""[[-0.01174919]]""","""[[0.01238385]]""",NA,NA,NA,NA,NA,NA,NA
15,7.838372653168335e-07,"""[-0.68236357]""","""[7.091851e-05]""",1.000293493270874,0.9989354014396667,"""[[-0.01410766]]""","""[[0.01534688]]""",NA,NA,NA,NA,NA,NA,NA
16,8.24357073270221e-07,"""[-0.5415321]""","""[9.24012e-05]""",1.0003784894943237,0.9985345602035522,"""[[-0.01589818]]""","""[[0.01759964]]""",NA,NA,NA,NA,NA,NA,NA
17,8.438314580416773e-07,"""[-0.46224818]""","""[0.00010892763]""",1.0004433393478394,0.9982388019561768,"""[[-0.01712233]]""","""[[0.01916542]]""",NA,NA,NA,NA,NA,NA,NA
18,8.623548524155922e-07,"""[-0.42112592]""","""[0.00011904253]""",1.0004829168319702,0.9980300068855286,"""[[-0.01779931]]""","""[[0.02008225]]""",NA,NA,NA,NA,NA,NA,NA
19,8.906768016458955e-07,"""[-0.4074192]""","""[0.00012228951]""",1.0004950761795044,0.9978955984115601,"""[[-0.01796448]]""","""[[0.02039826]]""",NA,NA,NA,NA,NA,NA,NA
20,9.337782671536843e-07,"""[-0.416429]""","""[0.00011903005]""",1.0004817247390747,0.9978291988372803,"""[[-0.01766533]]""","""[[0.02016848]]""",NA,NA,NA,NA,NA,NA,NA
21,9.927799737852183e-07,"""[-0.44708514]""","""[0.000110227134]""",1.0004465579986572,0.9978297352790833,"""[[-0.01695845]]""","""[[0.01945182]]""",NA,NA,NA,NA,NA,NA,NA
22,1.0642736469890224e-06,"""[-0.50125486]""","""[9.7220625e-05]""",1.0003949403762817,0.9979013800621033,"""[[-0.01590673]]""","""[[0.01830802]]""",NA,NA,NA,NA,NA,NA,NA
23,1.1369201047273236e-06,"""[-0.584095]""","""[8.152836e-05]""",1.0003325939178467,0.9980533719062805,"""[[-0.01457769]]""","""[[0.01679605]]""",NA,NA,NA,NA,NA,NA,NA
24,1.1845171457025572e-06,"""[-0.70560545]""","""[6.4680156e-05]""",1.0002660751342773,0.9982999563217163,"""[[-0.01304186]]""","""[[0.01497225]]""",NA,NA,NA,NA,NA,NA,NA
25,1.157223437076027e-06,"""[-0.88427037]""","""[4.8093072e-05]""",1.0002003908157349,0.9986599087715149,"""[[-0.01137128]]""","""[[0.01289014]]""",NA,NA,NA,NA,NA,NA,NA
26,9.904134685712052e-07,"""[-1.1551279]""","""[3.299068e-05]""",1.0001403093338013,0.9991504549980164,"""[[-0.00963607]]""","""[[0.01060206]]""",NA,NA,NA,NA,NA,NA,NA
27,7.366020895460679e-07,"""[-1.5873668]""","""[2.0353891e-05]""",1.000089168548584,0.9997684955596924,"""[[-0.00789319]]""","""[[0.00816916]]""",NA,NA,NA,NA,NA,NA,NA
28,1.157432961917948e-06,"""[-2.323183]""","""[1.0837429e-05]""",1.0000497102737427,0.9995996952056885,"""[[-0.00614765]]""","""[[0.00569812]]""",NA,NA,NA,NA,NA,NA,NA
29,3.6654137147706933e-06,"""[-3.7811558]""","""[4.477257e-06]""",1.000024676322937,0.9992969632148743,"""[[-0.00423551]]""","""[[0.0034622]]""",NA,NA,NA,NA,NA,NA,NA
30,4.403603270475287e-06,"""[-8.948196]""","""[8.915336e-07]""",1.0000096559524536,0.9997498989105225,"""[[-0.00173295]]""","""[[0.00201231]]""",NA,NA,NA,NA,NA,NA,NA
31,7.68491008784622e-05,"""[5.4122887]""","""[2.3088992e-07]""",1.0000767707824707,0.9991849660873413,"""[[-0.00050649]]""","""[[-0.00038403]]""",NA,NA,NA,NA,NA,NA,NA
32,9.307409065684169e-09,"""[7.0442195]""","""[1.8768972e-06]""",1.0000050067901611,0.9999709129333496,"""[[0.00205863]]""","""[[-0.00208651]]""",NA,NA,NA,NA,NA,NA,NA
33,2.9255595563881798e-06,"""[3.9775705]""","""[6.26269e-06]""",1.0000221729278564,0.9992483258247375,"""[[0.0043829]]""","""[[-0.00354329]]""",NA,NA,NA,NA,NA,NA,NA
34,1.409695869369898e-06,"""[3.0354748]""","""[1.1777277e-05]""",1.0000406503677368,0.9993520975112915,"""[[0.00595666]]""","""[[-0.00522421]]""",NA,NA,NA,NA,NA,NA,NA
35,2.9286539415807056e-07,"""[2.5751]""","""[1.7536788e-05]""",1.0000611543655396,0.999843418598175,"""[[0.00702306]]""","""[[-0.00682342]]""",NA,NA,NA,NA,NA,NA,NA
36,3.9775608229319914e-07,"""[2.3024907]""","""[2.2889817e-05]""",1.000080943107605,0.9996693134307861,"""[[0.0077555]]""","""[[-0.00813504]]""",NA,NA,NA,NA,NA,NA,NA
37,8.757695013628108e-07,"""[2.141917]""","""[2.7119033e-05]""",1.0000967979431152,0.9992979168891907,"""[[0.00825804]]""","""[[-0.00904962]]""",NA,NA,NA,NA,NA,NA,NA
38,1.0920103932221537e-06,"""[2.0614707]""","""[2.9668961e-05]""",1.0001062154769897,0.9991560578346252,"""[[0.00858106]]""","""[[-0.00953073]]""",NA,NA,NA,NA,NA,NA,NA
39,9.092715345104807e-07,"""[2.04278]""","""[3.032004e-05]""",1.0001085996627808,0.9992454051971436,"""[[0.00874043]]""","""[[-0.00959184]]""",NA,NA,NA,NA,NA,NA,NA
40,5.280180630506948e-07,"""[2.0747232]""","""[2.9190793e-05]""",1.0001044273376465,0.9995176792144775,"""[[0.00873025]]""","""[[-0.0092803]]""",NA,NA,NA,NA,NA,NA,NA
41,2.739090518844023e-07,"""[2.1520004]""","""[2.6626523e-05]""",1.0000948905944824,0.9998890161514282,"""[[0.00853072]]""","""[[-0.00866922]]""",NA,NA,NA,NA,NA,NA,NA
42,3.6191653407513513e-07,"""[2.2767503]""","""[2.3054143e-05]""",1.0000816583633423,0.9997970461845398,"""[[0.0081125]]""","""[[-0.00785067]]""",NA,NA,NA,NA,NA,NA,NA
43,6.728686230417225e-07,"""[2.4639704]""","""[1.887524e-05]""",1.0000661611557007,0.9995601773262024,"""[[0.00744506]]""","""[[-0.00692688]]""",NA,NA,NA,NA,NA,NA,NA
44,7.482466912733798e-07,"""[2.749518]""","""[1.4457916e-05]""",1.0000500679016113,0.9995556473731995,"""[[0.0065112]]""","""[[-0.00599233]]""",NA,NA,NA,NA,NA,NA,NA
45,3.130769528070232e-07,"""[3.1944432]""","""[1.020587e-05]""",1.0000344514846802,0.9998165369033813,"""[[0.00533223]]""","""[[-0.00510418]]""",NA,NA,NA,NA,NA,NA,NA
46,2.368630589444365e-07,"""[3.8781676]""","""[6.5485265e-06]""",1.0000211000442505,0.9997878074645996,"""[[0.00401066]]""","""[[-0.00423539]]""",NA,NA,NA,NA,NA,NA,NA
47,1.050377022693283e-06,"""[4.998845]""","""[3.682134e-06]""",1.0000118017196655,0.9996038675308228,"""[[0.00279265]]""","""[[-0.00321597]]""",NA,NA,NA,NA,NA,NA,NA
48,2.429165704143088e-07,"""[7.3669024]""","""[1.6106695e-06]""",1.0000041723251343,0.9999018907546997,"""[[0.00196708]]""","""[[-0.00184162]]""",NA,NA,NA,NA,NA,NA,NA
49,9.505700973022613e-07,"""[13.682923]""","""[4.3635288e-07]""",1.0000015497207642,0.9999304413795471,"""[[0.00089797]]""","""[[-0.00080475]]""",NA,NA,NA,NA,NA,NA,NA
50,7.532431482104585e-05,"""[2.8825216]""","""[3.5287906e-07]""",1.000075340270996,0.9989570379257202,"""[[-0.00066385]]""","""[[-0.00046484]]""",NA,NA,NA,NA,NA,NA,NA
51,7.129684672690928e-05,"""[-2.3160295]""","""[7.5740417e-07]""",1.0000718832015991,0.998493492603302,"""[[-0.00147721]]""","""[[-0.00015991]]""",NA,NA,NA,NA,NA,NA,NA
52,3.8988699088804424e-05,"""[-5.696988]""","""[9.914614e-07]""",1.000042200088501,0.9987217783927917,"""[[-0.00215181]]""","""[[0.00076466]]""",NA,NA,NA,NA,NA,NA,NA
53,1.3515162208932452e-05,"""[-4.9576354]""","""[2.1295753e-06]""",1.0000226497650146,0.9988707900047302,"""[[-0.00189369]]""","""[[0.00315158]]""",NA,NA,NA,NA,NA,NA,NA
54,1.4105856280366424e-05,"""[-3.1987753]""","""[4.585303e-06]""",1.0000317096710205,0.9982240200042725,"""[[-0.00253995]]""","""[[0.00451037]]""",NA,NA,NA,NA,NA,NA,NA
55,6.703607596136862e-06,"""[-2.7813575]""","""[6.4806495e-06]""",1.0000337362289429,0.9985384941101074,"""[[-0.00359123]]""","""[[0.00521903]]""",NA,NA,NA,NA,NA,NA,NA
56,1.5613591131113935e-06,"""[-2.5449343]""","""[8.027372e-06]""",1.0000375509262085,0.9993672370910645,"""[[-0.00473001]]""","""[[0.0054506]]""",NA,NA,NA,NA,NA,NA,NA
57,9.736232868817751e-07,"""[-2.3036847]""","""[9.476372e-06]""",1.0000433921813965,0.9997075796127319,"""[[-0.00569851]]""","""[[0.00538508]]""",NA,NA,NA,NA,NA,NA,NA
58,2.7041637622460257e-06,"""[-2.110801]""","""[1.0594057e-05]""",1.0000485181808472,0.9989500641822815,"""[[-0.00633315]]""","""[[0.00518765]]""",NA,NA,NA,NA,NA,NA,NA
59,4.341380190453492e-06,"""[-2.0265658]""","""[1.0957797e-05]""",1.0000501871109009,0.9985228180885315,"""[[-0.00657463]]""","""[[0.00495997]]""",NA,NA,NA,NA,NA,NA,NA
60,4.815783995582024e-06,"""[-2.0763438]""","""[1.0355284e-05]""",1.0000479221343994,0.9984686374664307,"""[[-0.00642505]]""","""[[0.00475151]]""",NA,NA,NA,NA,NA,NA,NA
61,3.826909960480407e-06,"""[-2.280774]""","""[8.906595e-06]""",1.0000419616699219,0.9987800121307373,"""[[-0.00591379]]""","""[[0.00458326]]""",NA,NA,NA,NA,NA,NA,NA
62,1.798517814677325e-06,"""[-2.6582298]""","""[7.017073e-06]""",1.0000333786010742,0.9994083642959595,"""[[-0.00508937]]""","""[[0.00444992]]""",NA,NA,NA,NA,NA,NA,NA
63,9.631388593334123e-07,"""[-3.1622007]""","""[5.2138143e-06]""",1.0000253915786743,0.9997972846031189,"""[[-0.00404727]]""","""[[0.00429261]]""",NA,NA,NA,NA,NA,NA,NA
64,4.179748430033214e-06,"""[-3.6891685]""","""[3.7513478e-06]""",1.0000213384628296,0.9991511702537537,"""[[-0.00300017]]""","""[[0.00395246]]""",NA,NA,NA,NA,NA,NA,NA
65,6.6871812123281416e-06,"""[-4.6508036]""","""[2.3518944e-06]""",1.0000176429748535,0.9991393089294434,"""[[-0.00226806]]""","""[[0.00323148]]""",NA,NA,NA,NA,NA,NA,NA
66,1.8048070842269226e-06,"""[-7.2374306]""","""[1.1076271e-06]""",1.0000078678131104,0.9999830722808838,"""[[-0.00205374]]""","""[[0.00204969]]""",NA,NA,NA,NA,NA,NA,NA
67,2.0451985619729385e-05,"""[-8.434458]""","""[5.8622555e-07]""",1.000023365020752,0.9992687106132507,"""[[-0.00174863]]""","""[[0.00096097]]""",NA,NA,NA,NA,NA,NA,NA
68,3.520585232763551e-05,"""[-7.961102]""","""[4.3816664e-07]""",1.0000368356704712,0.9991397261619568,"""[[-0.00053694]]""","""[[0.00149751]]""",NA,NA,NA,NA,NA,NA,NA
69,5.929088274569949e-06,"""[-12.18738]""","""[3.7305028e-07]""",1.000008463859558,0.9997686147689819,"""[[-0.0011246]]""","""[[0.00139475]]""",NA,NA,NA,NA,NA,NA,NA
70,3.2866551919141784e-05,"""[-4.697146]""","""[1.2092029e-06]""",1.000036597251892,0.9985793828964233,"""[[-0.00232952]]""","""[[0.00078426]]""",NA,NA,NA,NA,NA,NA,NA
71,2.8116446628700942e-05,"""[-3.618935]""","""[2.1805229e-06]""",1.0000345706939697,0.9981980919837952,"""[[-0.00309051]]""","""[[0.00112502]]""",NA,NA,NA,NA,NA,NA,NA
72,1.2762858204951044e-05,"""[-3.8700125]""","""[2.7127912e-06]""",1.000023603439331,0.998653769493103,"""[[-0.00349526]]""","""[[0.00202864]]""",NA,NA,NA,NA,NA,NA,NA
73,1.359644670628768e-06,"""[-3.8414242]""","""[3.3235415e-06]""",1.0000172853469849,0.999733567237854,"""[[-0.00350232]]""","""[[0.00321952]]""",NA,NA,NA,NA,NA,NA,NA
74,3.178258111802279e-06,"""[-3.173886]""","""[4.469625e-06]""",1.0000232458114624,0.9991536140441895,"""[[-0.00330562]]""","""[[0.00425218]]""",NA,NA,NA,NA,NA,NA,NA
75,7.266049578902312e-06,"""[-2.640299]""","""[5.6523945e-06]""",1.0000299215316772,0.9984184503555298,"""[[-0.00315473]]""","""[[0.0049089]]""",NA,NA,NA,NA,NA,NA,NA
76,8.859616173140239e-06,"""[-2.4183533]""","""[6.2869076e-06]""",1.0000330209732056,0.9981217980384827,"""[[-0.00311206]]""","""[[0.00519225]]""",NA,NA,NA,NA,NA,NA,NA
77,8.006523785297759e-06,"""[-2.4457517]""","""[6.1839078e-06]""",1.0000320672988892,0.9982231259346008,"""[[-0.00317066]]""","""[[0.0051395]]""",NA,NA,NA,NA,NA,NA,NA
78,5.251603852229891e-06,"""[-2.6871078]""","""[5.470915e-06]""",1.000028133392334,0.9986719489097595,"""[[-0.00330804]]""","""[[0.00478355]]""",NA,NA,NA,NA,NA,NA,NA
79,1.8464511413185392e-06,"""[-3.1011803]""","""[4.4792855e-06]""",1.000022292137146,0.9993974566459656,"""[[-0.00348245]]""","""[[0.00416088]]""",NA,NA,NA,NA,NA,NA,NA
80,1.1083753861385048e-06,"""[-3.5204353]""","""[3.586252e-06]""",1.0000181198120117,0.9997642636299133,"""[[-0.00360106]]""","""[[0.00335068]]""",NA,NA,NA,NA,NA,NA,NA
81,5.217189936956856e-06,"""[-3.779561]""","""[2.8962586e-06]""",1.0000181198120117,0.9991086721420288,"""[[-0.00351026]]""","""[[0.00254146]]""",NA,NA,NA,NA,NA,NA,NA
82,8.899836757336743e-06,"""[-4.2545004]""","""[2.1473256e-06]""",1.0000182390213013,0.9989622235298157,"""[[-0.00310563]]""","""[[0.0019771]]""",NA,NA,NA,NA,NA,NA,NA
83,4.835611434828024e-06,"""[-5.888266]""","""[1.26857e-06]""",1.0000112056732178,0.9994732737541199,"""[[-0.0023755]]""","""[[0.00180913]]""",NA,NA,NA,NA,NA,NA,NA
84,7.249121154018212e-06,"""[-7.3089204]""","""[7.9714226e-07]""",1.0000114440917969,0.9994518160820007,"""[[-0.00135339]]""","""[[0.00196922]]""",NA,NA,NA,NA,NA,NA,NA
85,1.1905756764463149e-05,"""[-8.578991]""","""[5.245229e-07]""",1.0000145435333252,0.999416708946228,"""[[-0.00100146]]""","""[[0.00165553]]""",NA,NA,NA,NA,NA,NA,NA
86,1.6866753867361695e-05,"""[-8.324527]""","""[4.8314996e-07]""",1.0000190734863281,0.9993290901184082,"""[[-0.0015862]]""","""[[0.00086188]]""",NA,NA,NA,NA,NA,NA,NA
87,6.102586212364258e-06,"""[-8.908063]""","""[5.4087417e-07]""",1.0000091791152954,0.9996244311332703,"""[[-0.00162737]]""","""[[0.00122722]]""",NA,NA,NA,NA,NA,NA,NA
88,1.0614982784318272e-05,"""[-6.421015]""","""[8.9651024e-07]""",1.0000147819519043,0.999243974685669,"""[[-0.00125102]]""","""[[0.00209489]]""",NA,NA,NA,NA,NA,NA,NA
89,9.53534254222177e-06,"""[-5.227028]""","""[1.32935e-06]""",1.000015377998352,0.9991060495376587,"""[[-0.00150531]]""","""[[0.00250112]]""",NA,NA,NA,NA,NA,NA,NA
90,1.9538033484423067e-06,"""[-5.1621075]""","""[1.581558e-06]""",1.0000098943710327,0.9996604323387146,"""[[-0.00215809]]""","""[[0.00254569]]""",NA,NA,NA,NA,NA,NA,NA
91,2.180599040002562e-06,"""[-4.559772]""","""[1.9533538e-06]""",1.000011682510376,0.9995980262756348,"""[[-0.0028013]]""","""[[0.00237108]]""",NA,NA,NA,NA,NA,NA,NA
92,4.9878931349667255e-06,"""[-3.9977503]""","""[2.3104378e-06]""",1.000015377998352,0.9991782307624817,"""[[-0.00315205]]""","""[[0.00226069]]""",NA,NA,NA,NA,NA,NA,NA
93,4.676313437812496e-06,"""[-3.9222548]""","""[2.3804075e-06]""",1.000015377998352,0.9991911053657532,"""[[-0.00318892]]""","""[[0.00231162]]""",NA,NA,NA,NA,NA,NA,NA
94,2.056244966297527e-06,"""[-4.220469]""","""[2.1827789e-06]""",1.0000125169754028,0.9995748996734619,"""[[-0.00294668]]""","""[[0.00249064]]""",NA,NA,NA,NA,NA,NA,NA
95,1.0001323289543507e-06,"""[-4.5578437]""","""[1.9217139e-06]""",1.00001060962677,0.9998500943183899,"""[[-0.00249898]]""","""[[0.00267845]]""",NA,NA,NA,NA,NA,NA,NA
96,3.528595470925211e-06,"""[-4.739682]""","""[1.679258e-06]""",1.000011682510376,0.9994050860404968,"""[[-0.00202825]]""","""[[0.00269607]]""",NA,NA,NA,NA,NA,NA,NA
97,4.654712483898038e-06,"""[-5.2839026]""","""[1.3277344e-06]""",1.0000110864639282,0.9993800520896912,"""[[-0.00174946]]""","""[[0.00244428]]""",NA,NA,NA,NA,NA,NA,NA
98,1.5431925248776679e-06,"""[-6.7133574]""","""[9.022313e-07]""",1.0000064373016357,0.999844491481781,"""[[-0.00173908]]""","""[[0.00192346]]""",NA,NA,NA,NA,NA,NA,NA
99,5.768988557974808e-06,"""[-7.5294924]""","""[6.5398893e-07]""",1.0000091791152954,0.9995511770248413,"""[[-0.00176679]]""","""[[0.00128593]]""",NA,NA,NA,NA,NA,NA,NA
100,3.9208762245834805e-06,"""[-9.6286545]""","""[4.2400632e-07]""",1.0000064373016357,0.9997537732124329,"""[[-0.00142465]]""","""[[0.00116655]]""",NA,NA,NA,NA,NA,NA,NA
101,1.3781840607407503e-05,"""[-8.646089]""","""[3.9683286e-07]""",1.0000157356262207,0.9994001984596252,"""[[-0.00078075]]""","""[[0.00145246]]""",NA,NA,NA,NA,NA,NA,NA
