epoch,DE,E,I,loss,mse_odd_even_sol,y0,yL,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol,val_y0,val_yL
0,9.733721384463934e-08,"""[3.5209465]""","""[2.4009534e-05]""",100.01885986328125,0.9725102186203003,"""[[-0.00775478]]""","""[[0.00775478]]""",NA,NA,NA,NA,NA,NA,NA
1,0.0010323987808078527,"""[0.24278642]""","""[0.00092609215]""",179.601806640625,0.978830873966217,"""[[-0.03046525]]""","""[[-0.0286904]]""",NA,NA,NA,NA,NA,NA,NA
2,0.00012929404329042882,"""[0.08012951]""","""[0.004073168]""",150.54014587402344,0.9293226003646851,"""[[0.01177946]]""","""[[-0.1129287]]""",NA,NA,NA,NA,NA,NA,NA
3,1.2090612472093198e-05,"""[0.2727093]""","""[0.00855479]""",123.28008270263672,0.8703175187110901,"""[[0.08703912]]""","""[[-0.17894584]]""",NA,NA,NA,NA,NA,NA,NA
4,5.517890531336889e-05,"""[0.42875698]""","""[0.016256383]""",104.64765167236328,0.8127275705337524,"""[[0.1735119]]""","""[[-0.23756272]]""",NA,NA,NA,NA,NA,NA,NA
5,3.055304478039034e-05,"""[0.51333964]""","""[0.026908765]""",96.25812530517578,0.7633630633354187,"""[[0.2565166]]""","""[[-0.28769094]]""",NA,NA,NA,NA,NA,NA,NA
6,1.1719676876964513e-05,"""[0.5606847]""","""[0.03969297]""",94.5838623046875,0.7222078442573547,"""[[0.33105943]]""","""[[-0.33257887]]""",NA,NA,NA,NA,NA,NA,NA
7,2.7890158889931627e-05,"""[0.59219897]""","""[0.05406679]""",92.47350311279297,0.6870906949043274,"""[[0.39840645]]""","""[[-0.37461895]]""",NA,NA,NA,NA,NA,NA,NA
8,7.936632027849555e-05,"""[0.61645305]""","""[0.069763154]""",92.5203857421875,0.6564443111419678,"""[[0.46089232]]""","""[[-0.4143848]]""",NA,NA,NA,NA,NA,NA,NA
9,0.00015191799320746213,"""[0.6376316]""","""[0.08667466]""",89.33840942382812,0.6289780735969543,"""[[0.5186522]]""","""[[-0.4543766]]""",NA,NA,NA,NA,NA,NA,NA
10,0.00023754245194140822,"""[0.6573645]""","""[0.104791366]""",89.17511749267578,0.6039872169494629,"""[[0.5732919]]""","""[[-0.4945328]]""",NA,NA,NA,NA,NA,NA,NA
11,0.00032370665576308966,"""[0.6768004]""","""[0.124191195]""",84.5599365234375,0.5808231830596924,"""[[0.6252696]]""","""[[-0.5359991]]""",NA,NA,NA,NA,NA,NA,NA
12,0.000412874884204939,"""[0.69615364]""","""[0.14500017]""",82.11365509033203,0.5592883825302124,"""[[0.67587966]]""","""[[-0.5781893]]""",NA,NA,NA,NA,NA,NA,NA
13,0.0005038518575020134,"""[0.7157768]""","""[0.16739139]""",79.66474914550781,0.5391554236412048,"""[[0.7257092]]""","""[[-0.62138844]]""",NA,NA,NA,NA,NA,NA,NA
14,0.0005961447022855282,"""[0.7359297]""","""[0.19156392]""",76.71281433105469,0.5202844142913818,"""[[0.775212]]""","""[[-0.6658748]]""",NA,NA,NA,NA,NA,NA,NA
15,0.0006922843167558312,"""[0.7567713]""","""[0.21773681]""",74.28218841552734,0.502639651298523,"""[[0.8248704]]""","""[[-0.711708]]""",NA,NA,NA,NA,NA,NA,NA
16,0.0007925120880827308,"""[0.7784965]""","""[0.24614182]""",72.69927978515625,0.48620185256004333,"""[[0.8749187]]""","""[[-0.7591847]]""",NA,NA,NA,NA,NA,NA,NA
17,0.0008941194973886013,"""[0.8013359]""","""[0.27701807]""",69.2895278930664,0.4709656834602356,"""[[0.92535126]]""","""[[-0.8088218]]""",NA,NA,NA,NA,NA,NA,NA
18,0.0010021836496889591,"""[0.82531595]""","""[0.31059414]""",70.60018157958984,0.45706841349601746,"""[[0.9764472]]""","""[[-0.86051357]]""",NA,NA,NA,NA,NA,NA,NA
19,0.0011083792196586728,"""[0.8506901]""","""[0.34708917]""",61.57144546508789,0.44453513622283936,"""[[1.0277159]]""","""[[-0.915147]]""",NA,NA,NA,NA,NA,NA,NA
20,0.0012473459355533123,"""[0.8770025]""","""[0.38667005]""",58.74210739135742,0.4338374435901642,"""[[1.0806388]]""","""[[-0.9705481]]""",NA,NA,NA,NA,NA,NA,NA
21,0.001422156230546534,"""[0.9043277]""","""[0.42942643]""",56.17705154418945,0.4250994622707367,"""[[1.1349592]]""","""[[-1.0268754]]""",NA,NA,NA,NA,NA,NA,NA
22,0.0016361922025680542,"""[0.93266296]""","""[0.47534937]""",54.807865142822266,0.4184522330760956,"""[[1.1902876]]""","""[[-1.0841942]]""",NA,NA,NA,NA,NA,NA,NA
23,0.0018875232199206948,"""[0.96196496]""","""[0.524284]""",51.54862976074219,0.41397517919540405,"""[[1.2458204]]""","""[[-1.1427864]]""",NA,NA,NA,NA,NA,NA,NA
24,0.0021900616120547056,"""[0.9918983]""","""[0.57586724]""",50.598819732666016,0.4118252098560333,"""[[1.3014108]]""","""[[-1.2016714]]""",NA,NA,NA,NA,NA,NA,NA
25,0.0025417397264391184,"""[1.022157]""","""[0.6294547]""",48.83377456665039,0.41197067499160767,"""[[1.3559916]]""","""[[-1.2606087]]""",NA,NA,NA,NA,NA,NA,NA
26,0.0029458224307745695,"""[1.052182]""","""[0.68403715]""",47.34458923339844,0.4143163561820984,"""[[1.4087313]]""","""[[-1.318497]]""",NA,NA,NA,NA,NA,NA,NA
27,0.003402775852009654,"""[1.0812176]""","""[0.7381601]""",47.02040100097656,0.4186069369316101,"""[[1.4587624]]""","""[[-1.3736912]]""",NA,NA,NA,NA,NA,NA,NA
28,0.0039012127090245485,"""[1.1083622]""","""[0.7898934]""",47.59592056274414,0.4243582785129547,"""[[1.5049243]]""","""[[-1.4243498]]""",NA,NA,NA,NA,NA,NA,NA
29,0.004401694051921368,"""[1.1327091]""","""[0.8369334]""",48.28081512451172,0.43080687522888184,"""[[1.5451068]]""","""[[-1.469412]]""",NA,NA,NA,NA,NA,NA,NA
30,0.004873311147093773,"""[1.1531787]""","""[0.8768107]""",49.13164520263672,0.4371381103992462,"""[[1.5783098]]""","""[[-1.5064849]]""",NA,NA,NA,NA,NA,NA,NA
31,0.0052609932608902454,"""[1.168968]""","""[0.9073517]""",50.7751350402832,0.44245445728302,"""[[1.6028099]]""","""[[-1.5347098]]""",NA,NA,NA,NA,NA,NA,NA
32,0.005513823125511408,"""[1.1795894]""","""[0.9271135]""",50.86525344848633,0.4460383355617523,"""[[1.6172962]]""","""[[-1.5539633]]""",NA,NA,NA,NA,NA,NA,NA
33,0.005617218092083931,"""[1.1848233]""","""[0.93560857]""",51.65874481201172,0.44755271077156067,"""[[1.6222152]]""","""[[-1.563542]]""",NA,NA,NA,NA,NA,NA,NA
34,0.005563716869801283,"""[1.1849709]""","""[0.9333796]""",51.167728424072266,0.44696271419525146,"""[[1.6177716]]""","""[[-1.5644765]]""",NA,NA,NA,NA,NA,NA,NA
35,0.005378813948482275,"""[1.1805816]""","""[0.9217462]""",50.835838317871094,0.4445715844631195,"""[[1.6054251]]""","""[[-1.5574312]]""",NA,NA,NA,NA,NA,NA,NA
36,0.005093532148748636,"""[1.1724818]""","""[0.90255743]""",50.038814544677734,0.4408496022224426,"""[[1.5864872]]""","""[[-1.5439552]]""",NA,NA,NA,NA,NA,NA,NA
37,0.004753242712467909,"""[1.1615455]""","""[0.8778621]""",49.237030029296875,0.436362087726593,"""[[1.563127]]""","""[[-1.5249517]]""",NA,NA,NA,NA,NA,NA,NA
38,0.004390821326524019,"""[1.148725]""","""[0.84971696]""",48.465240478515625,0.4316188097000122,"""[[1.5368683]]""","""[[-1.502107]]""",NA,NA,NA,NA,NA,NA,NA
39,0.004029674455523491,"""[1.1349393]""","""[0.8200098]""",47.972084045410156,0.42703017592430115,"""[[1.5088755]]""","""[[-1.4773293]]""",NA,NA,NA,NA,NA,NA,NA
40,0.003694734536111355,"""[1.1209452]""","""[0.79031503]""",48.740867614746094,0.4229016900062561,"""[[1.4809151]]""","""[[-1.4515053]]""",NA,NA,NA,NA,NA,NA,NA
41,0.00340473186224699,"""[1.107367]""","""[0.76187617]""",47.17552185058594,0.4194132089614868,"""[[1.4547148]]""","""[[-1.4251387]]""",NA,NA,NA,NA,NA,NA,NA
42,0.0031552701257169247,"""[1.0947944]""","""[0.7356677]""",47.07019805908203,0.4166010022163391,"""[[1.4303055]]""","""[[-1.4001828]]""",NA,NA,NA,NA,NA,NA,NA
43,0.002945232205092907,"""[1.0836401]""","""[0.7123444]""",47.12247085571289,0.4144328832626343,"""[[1.4081215]]""","""[[-1.3776636]]""",NA,NA,NA,NA,NA,NA,NA
44,0.002773564076051116,"""[1.0741776]""","""[0.6923009]""",47.26856231689453,0.4128305912017822,"""[[1.3886312]]""","""[[-1.358129]]""",NA,NA,NA,NA,NA,NA,NA
45,0.0026376494206488132,"""[1.0665776]""","""[0.67573637]""",47.3842658996582,0.41169169545173645,"""[[1.372116]]""","""[[-1.3419507]]""",NA,NA,NA,NA,NA,NA,NA
46,0.002535717561841011,"""[1.0609164]""","""[0.6626974]""",48.14236831665039,0.41091498732566833,"""[[1.3588307]]""","""[[-1.3292015]]""",NA,NA,NA,NA,NA,NA,NA
47,0.0024593013804405928,"""[1.0572451]""","""[0.6531475]""",48.141361236572266,0.41039398312568665,"""[[1.3483261]]""","""[[-1.320493]]""",NA,NA,NA,NA,NA,NA,NA
48,0.0024074804969131947,"""[1.0555147]""","""[0.64695394]""",48.857051849365234,0.41006195545196533,"""[[1.3406664]]""","""[[-1.3156294]]""",NA,NA,NA,NA,NA,NA,NA
49,0.0023756378795951605,"""[1.055662]""","""[0.64395064]""",53.00517654418945,0.40986743569374084,"""[[1.335451]]""","""[[-1.3147748]]""",NA,NA,NA,NA,NA,NA,NA
50,0.0023534013889729977,"""[1.05761]""","""[0.64397085]""",47.86281204223633,0.4097824990749359,"""[[1.3315121]]""","""[[-1.3188071]]""",NA,NA,NA,NA,NA,NA,NA
51,0.0023590815253555775,"""[1.0610886]""","""[0.6466894]""",47.74990463256836,0.4098423421382904,"""[[1.3304005]]""","""[[-1.3254081]]""",NA,NA,NA,NA,NA,NA,NA
52,0.002392146037891507,"""[1.0659251]""","""[0.6518107]""",47.69557571411133,0.4100448489189148,"""[[1.3320118]]""","""[[-1.3340589]]""",NA,NA,NA,NA,NA,NA,NA
53,0.0024507951457053423,"""[1.0719386]""","""[0.659016]""",48.44453048706055,0.41039031744003296,"""[[1.3361028]]""","""[[-1.3443235]]""",NA,NA,NA,NA,NA,NA,NA
54,0.0025262469425797462,"""[1.0789587]""","""[0.6680356]""",47.855308532714844,0.41090571880340576,"""[[1.3412616]]""","""[[-1.3569826]]""",NA,NA,NA,NA,NA,NA,NA
55,0.00261983391828835,"""[1.0867547]""","""[0.67850095]""",47.948211669921875,0.4116068184375763,"""[[1.3473785]]""","""[[-1.371328]]""",NA,NA,NA,NA,NA,NA,NA
56,0.0027352196630090475,"""[1.095084]""","""[0.6899252]""",47.42234420776367,0.4124448895454407,"""[[1.3553807]]""","""[[-1.385504]]""",NA,NA,NA,NA,NA,NA,NA
57,0.002865793416276574,"""[1.1037244]""","""[0.7019051]""",47.21261215209961,0.413402795791626,"""[[1.3644677]]""","""[[-1.3994935]]""",NA,NA,NA,NA,NA,NA,NA
58,0.003006216837093234,"""[1.1124421]""","""[0.71401525]""",47.149749755859375,0.41445258259773254,"""[[1.3740338]]""","""[[-1.4130635]]""",NA,NA,NA,NA,NA,NA,NA
59,0.003150054719299078,"""[1.1209928]""","""[0.7258711]""",47.27949142456055,0.41558825969696045,"""[[1.3829643]]""","""[[-1.4265323]]""",NA,NA,NA,NA,NA,NA,NA
60,0.003294136608019471,"""[1.1291622]""","""[0.7369774]""",48.06100082397461,0.4167085886001587,"""[[1.3917408]]""","""[[-1.4385904]]""",NA,NA,NA,NA,NA,NA,NA
61,0.0034328498877584934,"""[1.1367505]""","""[0.74689317]""",47.978790283203125,0.4177206754684448,"""[[1.4004515]]""","""[[-1.4484214]]""",NA,NA,NA,NA,NA,NA,NA
62,0.0035605349112302065,"""[1.14359]""","""[0.75528795]""",47.63002014160156,0.41857001185417175,"""[[1.4086815]]""","""[[-1.4558648]]""",NA,NA,NA,NA,NA,NA,NA
63,0.0036725965328514576,"""[1.1495403]""","""[0.7619203]""",48.31270980834961,0.4192239046096802,"""[[1.4159272]]""","""[[-1.4609895]]""",NA,NA,NA,NA,NA,NA,NA
64,0.003766786539927125,"""[1.154514]""","""[0.7665975]""",47.12318801879883,0.4196312725543976,"""[[1.4223324]]""","""[[-1.4633586]]""",NA,NA,NA,NA,NA,NA,NA
65,0.003839778946712613,"""[1.1584593]""","""[0.7693304]""",47.13850021362305,0.4198310971260071,"""[[1.4268591]]""","""[[-1.4639547]]""",NA,NA,NA,NA,NA,NA,NA
66,0.0038897916674613953,"""[1.1613923]""","""[0.770171]""",47.59616470336914,0.4198324978351593,"""[[1.4292207]]""","""[[-1.463156]]""",NA,NA,NA,NA,NA,NA,NA
67,0.003920578397810459,"""[1.1633886]""","""[0.76918006]""",47.350528717041016,0.4196045994758606,"""[[1.4304227]]""","""[[-1.460152]]""",NA,NA,NA,NA,NA,NA,NA
68,0.003934102598577738,"""[1.1645437]""","""[0.7665833]""",47.739009857177734,0.4191906452178955,"""[[1.4304075]]""","""[[-1.4553825]]""",NA,NA,NA,NA,NA,NA,NA
69,0.003927431534975767,"""[1.1650158]""","""[0.762745]""",47.41159439086914,0.4186769425868988,"""[[1.4281049]]""","""[[-1.4505017]]""",NA,NA,NA,NA,NA,NA,NA
70,0.0039046956226229668,"""[1.1649665]""","""[0.75794286]""",49.184959411621094,0.4180857837200165,"""[[1.4241079]]""","""[[-1.4454523]]""",NA,NA,NA,NA,NA,NA,NA
71,0.0038814693689346313,"""[1.1645433]""","""[0.7523593]""",47.343528747558594,0.417390376329422,"""[[1.420833]]""","""[[-1.4382558]]""",NA,NA,NA,NA,NA,NA,NA
72,0.003850123845040798,"""[1.1639488]""","""[0.7464703]""",47.03388977050781,0.41670331358909607,"""[[1.4164052]]""","""[[-1.4315503]]""",NA,NA,NA,NA,NA,NA,NA
73,0.0038194817025214434,"""[1.1633368]""","""[0.7405216]""",47.208106994628906,0.41603097319602966,"""[[1.4119931]]""","""[[-1.4246686]]""",NA,NA,NA,NA,NA,NA,NA
74,0.0037879578303545713,"""[1.162876]""","""[0.73483384]""",47.534629821777344,0.4154174327850342,"""[[1.4071294]]""","""[[-1.4186593]]""",NA,NA,NA,NA,NA,NA,NA
75,0.0037675497587770224,"""[1.1626679]""","""[0.7295557]""",46.95446014404297,0.4148525893688202,"""[[1.4033607]]""","""[[-1.4123085]]""",NA,NA,NA,NA,NA,NA,NA
76,0.0037547245156019926,"""[1.1628321]""","""[0.72492504]""",48.6697998046875,0.41436871886253357,"""[[1.4000303]]""","""[[-1.4067079]]""",NA,NA,NA,NA,NA,NA,NA
77,0.0037405777256935835,"""[1.1634889]""","""[0.7211586]""",46.96000289916992,0.41399216651916504,"""[[1.395963]]""","""[[-1.4034328]]""",NA,NA,NA,NA,NA,NA,NA
78,0.0037378009874373674,"""[1.1646473]""","""[0.71825063]""",47.042816162109375,0.41369906067848206,"""[[1.3927569]]""","""[[-1.4009229]]""",NA,NA,NA,NA,NA,NA,NA
79,0.0037488830275833607,"""[1.1663278]""","""[0.71622896]""",47.033042907714844,0.4134838879108429,"""[[1.3907048]]""","""[[-1.3989556]]""",NA,NA,NA,NA,NA,NA,NA
80,0.0037736715748906136,"""[1.1685393]""","""[0.7151001]""",47.963714599609375,0.41334429383277893,"""[[1.3897632]]""","""[[-1.3975921]]""",NA,NA,NA,NA,NA,NA,NA
