epoch,DE,E,I,loss,mse_odd_even_sol,y0,yL,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol,val_y0,val_yL
0,0.0008392501040361822,"""[42.01925]""","""[1.1276281e-06]""",43.01924514770508,1.0000011920928955,"""[[-0.00339618], [-0.00302753], [-0.00371568], [-0.0038017], [-0.00236396], [-0.00236396], [-0.00288007], [-0.00302753], [-0.00125802], [-0.00316271], [-0.00358051], [-0.00288007], [-0.00376483], [-0.00339618], [-0.00383856], [-0.00272033], [-0.00173726], [-0.00150378], [-0.00376483], [-0.00371568], [-0.00216735], [-0.00383856], [-0.00099996], [-0.00173726], [-0.00328559], [-0.00328559], [-0.00072962], [-0.00195845], [-0.00349449], [-0.00358051], [-0.00272033], [-0.00254829], [-0.00365424], [-0.00349449], [-0.00044699], [-0.00254829], [-0.00195845], [-0.00044699], [-0.00015207], [-0.00382627], [-0.00316271], [-0.00150378], [-0.00072962], [-0.00382627], [-0.0038017], [-0.00365424], [-0.00099996], [-0.00216735], [-0.00015207], [-0.00125802]]""","""[[0.00339618], [0.00302753], [0.00371568], [0.0038017], [0.00236396], [0.00236396], [0.00288007], [0.00302753], [0.00125802], [0.00316271], [0.00358051], [0.00288007], [0.00376483], [0.00339618], [0.00383856], [0.00272033], [0.00173726], [0.00150378], [0.00376483], [0.00371568], [0.00216735], [0.00383856], [0.00099996], [0.00173726], [0.00328559], [0.00328559], [0.00072962], [0.00195845], [0.00349449], [0.00358051], [0.00272033], [0.00254829], [0.00365424], [0.00349449], [0.00044699], [0.00254829], [0.00195845], [0.00044699], [0.00015207], [0.00382627], [0.00316271], [0.00150378], [0.00072962], [0.00382627], [0.0038017], [0.00365424], [0.00099996], [0.00216735], [0.00015207], [0.00125802]]""",NA,NA,NA,NA,NA,NA,NA
1,0.3349871039390564,"""[39.33708]""","""[0.0004700372]""",40.33613967895508,0.9882833957672119,"""[[-0.03731992], [-0.07295698], [-0.02702477], [-0.08219622], [-0.02702477], [-0.03230434], [-0.05078281], [-0.08166827], [-0.08087634], [-0.07982042], [-0.07506881], [-0.00960221], [-0.01567371], [-0.06503764], [-0.07850053], [-0.0618699], [-0.04207154], [-0.08219622], [-0.07295698], [-0.07691666], [-0.0824602], [-0.03230434], [-0.08166827], [-0.05843818], [-0.00326673], [-0.04207154], [-0.0679414], [-0.05078281], [-0.0824602], [-0.07506881], [-0.07058118], [-0.07691666], [-0.04655916], [-0.02148123], [-0.05474249], [-0.02148123], [-0.00326673], [-0.07058118], [-0.0679414], [-0.07982042], [-0.07850053], [-0.03731992], [-0.04655916], [-0.08087634], [-0.01567371], [-0.05843818], [-0.0618699], [-0.00960221], [-0.06503764], [-0.05474249]]""","""[[0.02984089], [0.05833616], [0.02160892], [0.06572382], [0.02160892], [0.02583044], [0.04060577], [0.06530167], [0.06466845], [0.06382415], [0.06002477], [0.00767789], [0.01253265], [0.05200388], [0.06276876], [0.04947096], [0.03364026], [0.06572382], [0.05833616], [0.0615023], [0.0659349], [0.02583044], [0.06530167], [0.04672697], [0.00261206], [0.03364026], [0.05432572], [0.04060577], [0.0659349], [0.06002477], [0.05643648], [0.0615023], [0.03722855], [0.01717632], [0.04377191], [0.01717632], [0.00261206], [0.05643648], [0.05432572], [0.06382415], [0.06276876], [0.02984089], [0.03722855], [0.06466845], [0.01253265], [0.04672697], [0.04947096], [0.00767789], [0.05200388], [0.04377191]]""",NA,NA,NA,NA,NA,NA,NA
2,0.30096325278282166,"""[19.857834]""","""[0.0006837657]""",20.85646629333496,0.9572718143463135,"""[[-0.01542124], [-0.0608733], [-0.04139385], [-0.03671877], [-0.07567769], [-0.08035275], [-0.03178398], [-0.04580918], [-0.05749686], [-0.03671877], [-0.02113521], [-0.06399001], [-0.0738596], [-0.00321411], [-0.06944426], [-0.0499648], [-0.02658946], [-0.08035275], [-0.04580918], [-0.00944754], [-0.0808722], [-0.02113521], [-0.0499648], [-0.07957358], [-0.07723604], [-0.00944754], [-0.00321411], [-0.0608733], [-0.066847], [-0.07853468], [-0.05386069], [-0.08113193], [-0.06944426], [-0.07957358], [-0.04139385], [-0.06399001], [-0.07178179], [-0.02658946], [-0.08113193], [-0.03178398], [-0.01542124], [-0.07567769], [-0.0738596], [-0.0808722], [-0.05386069], [-0.07723604], [-0.07853468], [-0.07178179], [-0.05749686], [-0.066847]]""","""[[0.00426395], [0.01683139], [0.01144535], [0.0101527], [0.02092479], [0.02221744], [0.00878823], [0.01266618], [0.01589781], [0.0101527], [0.00584386], [0.01769316], [0.02042209], [0.0008887], [0.01920125], [0.01381521], [0.00735195], [0.02221744], [0.01266618], [0.00261223], [0.02236106], [0.00584386], [0.01381521], [0.022002], [0.02135567], [0.00261223], [0.0008887], [0.01683139], [0.01848311], [0.02171474], [0.01489242], [0.02243288], [0.01920125], [0.022002], [0.01144535], [0.01769316], [0.01984758], [0.00735195], [0.02243288], [0.00878823], [0.00426395], [0.02092479], [0.02042209], [0.02236106], [0.01489242], [0.02135567], [0.02171474], [0.01984758], [0.01589781], [0.01848311]]""",NA,NA,NA,NA,NA,NA,NA
3,0.02556007355451584,"""[9.994919]""","""[0.0014201197]""",10.992080688476562,0.9261088371276855,"""[[-0.006152], [-0.0452204], [-0.0173144], [-0.02069695], [-0.03507277], [-0.04166873], [-0.05029422], [-0.05113986], [-0.03253586], [-0.05029422], [-0.05232375], [-0.04352913], [-0.02695466], [-0.04166873], [-0.05113986], [-0.05181637], [-0.01004193], [-0.00209295], [-0.02069695], [-0.01376273], [-0.02391037], [-0.0452204], [-0.02391037], [-0.03744055], [-0.0173144], [-0.05181637], [-0.052662], [-0.01376273], [-0.04674255], [-0.05232375], [-0.04352913], [-0.04809557], [-0.03744055], [-0.02982982], [-0.006152], [-0.05283113], [-0.03253586], [-0.05283113], [-0.052662], [-0.04927946], [-0.04809557], [-0.02695466], [-0.02982982], [-0.03507277], [-0.0396392], [-0.04674255], [-0.04927946], [-0.0396392], [-0.01004193], [-0.00209295]]""","""[[-0.00572805], [-0.04210412], [-0.01612121], [-0.01927066], [-0.03265579], [-0.03879721], [-0.04682829], [-0.04761565], [-0.03029371], [-0.04682829], [-0.04871795], [-0.0405294], [-0.02509713], [-0.03879721], [-0.04761565], [-0.04824554], [-0.00934991], [-0.00194872], [-0.01927066], [-0.0128143], [-0.02226263], [-0.04210412], [-0.02226263], [-0.0348604], [-0.01612121], [-0.04824554], [-0.04903289], [-0.0128143], [-0.04352137], [-0.04871795], [-0.0405294], [-0.04478114], [-0.0348604], [-0.02777415], [-0.00572805], [-0.04919037], [-0.03029371], [-0.04919037], [-0.04903289], [-0.04588345], [-0.04478114], [-0.02509713], [-0.02777415], [-0.03265579], [-0.03690754], [-0.04352137], [-0.04588345], [-0.03690754], [-0.00934991], [-0.00194872]]""",NA,NA,NA,NA,NA,NA,NA
4,0.23754359781742096,"""[11.378617]""","""[0.0025970172]""",12.373430252075195,0.9029788374900818,"""[[-0.01647688], [-0.02824774], [-0.02581883], [-0.01647688], [-0.02301624], [-0.01937288], [-0.01797159], [-0.01797159], [-0.02890168], [-0.01488874], [-0.02068076], [-0.00760202], [-0.02722012], [-0.02908852], [-0.02656619], [-0.02722012], [-0.00554679], [-0.00956383], [-0.02778064], [-0.00956383], [-0.00339814], [-0.02890168], [-0.02189521], [-0.02918194], [-0.01320719], [-0.00339814], [-0.00760202], [-0.02778064], [-0.01143222], [-0.02918194], [-0.02404386], [-0.01143222], [-0.02908852], [-0.02581883], [-0.02189521], [-0.02497806], [-0.02656619], [-0.02497806], [-0.02301624], [-0.00554679], [-0.01488874], [-0.00115607], [-0.00115607], [-0.01320719], [-0.02862142], [-0.02068076], [-0.01937288], [-0.02404386], [-0.02824774], [-0.02862142]]""","""[[-0.05973613], [-0.10241085], [-0.09360494], [-0.05973613], [-0.0834443], [-0.07023546], [-0.06515514], [-0.06515514], [-0.10478166], [-0.05397844], [-0.0749771], [-0.02756075], [-0.09868527], [-0.10545903], [-0.09631445], [-0.09868527], [-0.02010962], [-0.03467321], [-0.10071741], [-0.03467321], [-0.01231978], [-0.10478166], [-0.07938005], [-0.10579773], [-0.04788205], [-0.01231978], [-0.02756075], [-0.10071741], [-0.04144697], [-0.10579773], [-0.08716989], [-0.04144697], [-0.10545903], [-0.09360494], [-0.07938005], [-0.09055676], [-0.09631445], [-0.09055676], [-0.0834443], [-0.02010962], [-0.05397844], [-0.00419126], [-0.00419126], [-0.04788205], [-0.1037656], [-0.0749771], [-0.07023546], [-0.08716989], [-0.10241085], [-0.1037656]]""",NA,NA,NA,NA,NA,NA,NA
5,0.4966459572315216,"""[12.013445]""","""[0.004032772]""",13.005395889282227,0.8811935186386108,"""[[-0.02562831], [-0.02027837], [-0.01822069], [-0.0254637], [-0.01311767], [-0.02562831], [-0.00842617], [-0.02488755], [-0.02118374], [-0.02274757], [-0.02571062], [-0.01163614], [-0.02118374], [-0.01007231], [-0.02340603], [-0.01007231], [-0.01929068], [-0.01451688], [-0.00842617], [-0.0170684], [-0.00299391], [-0.02571062], [-0.01163614], [-0.02027837], [-0.01929068], [-0.02274757], [-0.01822069], [-0.00101855], [-0.02200681], [-0.00299391], [-0.02200681], [-0.0254637], [-0.01583379], [-0.02447602], [-0.02340603], [-0.01583379], [-0.02488755], [-0.01311767], [-0.00101855], [-0.0170684], [-0.02447602], [-0.02398218], [-0.00669772], [-0.00488697], [-0.02398218], [-0.02521678], [-0.02521678], [-0.00669772], [-0.01451688], [-0.00488697]]""","""[[-0.14024821], [-0.11097119], [-0.09971079], [-0.13934739], [-0.07178503], [-0.14024821], [-0.04611132], [-0.13619448], [-0.11592577], [-0.12448366], [-0.14069864], [-0.06367753], [-0.11592577], [-0.05511964], [-0.12808698], [-0.05511964], [-0.1055662], [-0.07944208], [-0.04611132], [-0.09340497], [-0.01638388], [-0.14069864], [-0.06367753], [-0.11097119], [-0.1055662], [-0.12448366], [-0.09971079], [-0.00557389], [-0.12042993], [-0.01638388], [-0.12042993], [-0.13934739], [-0.08664874], [-0.1339424], [-0.12808698], [-0.08664874], [-0.13619448], [-0.07178503], [-0.00557389], [-0.09340497], [-0.1339424], [-0.1312399], [-0.03665258], [-0.02674344], [-0.1312399], [-0.13799615], [-0.13799615], [-0.03665258], [-0.07944208], [-0.02674344]]""",NA,NA,NA,NA,NA,NA,NA
6,0.5958873629570007,"""[11.645107]""","""[0.00570051]""",12.63373851776123,0.8587586879730225,"""[[-0.03108612], [-0.03772909], [-0.03772909], [-0.01478063], [-0.02504704], [-0.01707547], [-0.03108612], [-0.00982859], [-0.03760831], [-0.012365], [-0.03760831], [-0.02830814], [-0.03519268], [-0.03519268], [-0.01478063], [-0.02975752], [-0.03736675], [-0.02830814], [-0.0370044], [-0.03338096], [-0.03652128], [-0.03652128], [-0.02130282], [-0.03434721], [-0.00149467], [-0.03591737], [-0.0071714], [-0.03229393], [-0.02673798], [-0.03338096], [-0.00439342], [-0.0370044], [-0.012365], [-0.00149467], [-0.03736675], [-0.02323532], [-0.02504704], [-0.00439342], [-0.0071714], [-0.00982859], [-0.02975752], [-0.03591737], [-0.02323532], [-0.02130282], [-0.01707547], [-0.01924954], [-0.03229393], [-0.01924954], [-0.02673798], [-0.03434721]]""","""[[-0.13294221], [-0.16135143], [-0.16135143], [-0.06321051], [-0.10711565], [-0.07302459], [-0.13294221], [-0.04203272], [-0.1608349], [-0.05287988], [-0.1608349], [-0.121062], [-0.15050428], [-0.15050428], [-0.06321051], [-0.12726037], [-0.15980184], [-0.121062], [-0.15825224], [-0.1427563], [-0.15618612], [-0.15618612], [-0.09110318], [-0.14688855], [-0.00639207], [-0.15360346], [-0.03066905], [-0.13810752], [-0.11434709], [-0.1427563], [-0.01878882], [-0.15825224], [-0.05287988], [-0.00639207], [-0.15980184], [-0.09936769], [-0.10711565], [-0.01878882], [-0.03066905], [-0.04203272], [-0.12726037], [-0.15360346], [-0.09936769], [-0.09110318], [-0.07302459], [-0.08232217], [-0.13810752], [-0.08232217], [-0.11434709], [-0.14688855]]""",NA,NA,NA,NA,NA,NA,NA
7,0.5605342984199524,"""[11.040486]""","""[0.007616982]""",12.025310516357422,0.8360742330551147,"""[[-0.05874228], [-0.04886883], [-0.05912203], [-0.05532455], [-0.05741316], [-0.00234969], [-0.05646379], [-0.03348903], [-0.05817266], [-0.04678022], [-0.05817266], [-0.03652702], [-0.02684344], [-0.01943835], [-0.01127377], [-0.00690667], [-0.00234969], [-0.04678022], [-0.05912203], [-0.04203336], [-0.03652702], [-0.05532455], [-0.05076757], [-0.02323584], [-0.02684344], [-0.03026118], [-0.05646379], [-0.03937513], [-0.01127377], [-0.0593119], [-0.04450173], [-0.0593119], [-0.05399543], [-0.05741316], [-0.03937513], [-0.05399543], [-0.01943835], [-0.04886883], [-0.03348903], [-0.02323584], [-0.04450173], [-0.05247644], [-0.05076757], [-0.015451], [-0.015451], [-0.05874228], [-0.05247644], [-0.00690667], [-0.03026118], [-0.04203336]]""","""[[-0.17153478], [-0.14270309], [-0.17264368], [-0.16155457], [-0.16765359], [-0.00686138], [-0.16488132], [-0.09779214], [-0.16987142], [-0.13660406], [-0.16987142], [-0.10666344], [-0.0783862], [-0.05676242], [-0.03292082], [-0.02016833], [-0.00686138], [-0.13660406], [-0.17264368], [-0.12274265], [-0.10666344], [-0.16155457], [-0.14824763], [-0.06785154], [-0.0783862], [-0.08836641], [-0.16488132], [-0.11498028], [-0.03292082], [-0.17319815], [-0.12995058], [-0.17319815], [-0.15767337], [-0.16765359], [-0.11498028], [-0.15767337], [-0.05676242], [-0.14270309], [-0.09779214], [-0.06785154], [-0.12995058], [-0.15323773], [-0.14824763], [-0.04511884], [-0.04511884], [-0.17153478], [-0.15323773], [-0.02016833], [-0.08836641], [-0.12274265]]""",NA,NA,NA,NA,NA,NA,NA
8,0.46266815066337585,"""[10.538802]""","""[0.009765352]""",11.519367218017578,0.8139601945877075,"""[[-0.07621375], [-0.02244014], [-0.01637338], [-0.07621375], [-0.02823115], [-0.06463175], [-0.01003085], [-0.04863754], [-0.08586542], [-0.06104683], [-0.03374639], [-0.01003085], [-0.08035018], [-0.05718616], [-0.07841985], [-0.08448662], [-0.05304974], [-0.04394959], [-0.08614118], [-0.03898587], [-0.06794089], [-0.0853139], [-0.03374639], [-0.05304974], [-0.08200476], [-0.08448662], [-0.07097428], [-0.05718616], [-0.08035018], [-0.00341255], [-0.02244014], [-0.07841985], [-0.08338357], [-0.04863754], [-0.08614118], [-0.06104683], [-0.00341255], [-0.04394959], [-0.07097428], [-0.06463175], [-0.06794089], [-0.08586542], [-0.0853139], [-0.01637338], [-0.02823115], [-0.07373189], [-0.07373189], [-0.03898587], [-0.08200476], [-0.08338357]]""","""[[-0.15872434], [-0.0467343], [-0.03409954], [-0.15872434], [-0.05879477], [-0.13460341], [-0.02089045], [-0.10129355], [-0.17882511], [-0.12713741], [-0.07028094], [-0.02089045], [-0.16733897], [-0.1190971], [-0.16331881], [-0.1759536], [-0.11048248], [-0.09153033], [-0.17939943], [-0.08119278], [-0.14149511], [-0.17767651], [-0.07028094], [-0.11048248], [-0.17078482], [-0.1759536], [-0.14781252], [-0.1190971], [-0.16733897], [-0.00710705], [-0.0467343], [-0.16331881], [-0.17365636], [-0.10129355], [-0.17939943], [-0.12713741], [-0.00710705], [-0.09153033], [-0.14781252], [-0.13460341], [-0.14149511], [-0.17882511], [-0.17767651], [-0.03409954], [-0.05879477], [-0.15355559], [-0.15355559], [-0.08119278], [-0.17078482], [-0.17365636]]""",NA,NA,NA,NA,NA,NA,NA
9,0.36535483598709106,"""[10.215295]""","""[0.012096859]""",11.19124698638916,0.793046772480011,"""[[-0.09870603], [-0.03779347], [-0.05219099], [-0.08652352], [-0.058836], [-0.06511183], [-0.01342845], [-0.04517682], [-0.10498187], [-0.11494938], [-0.11531854], [-0.09870603], [-0.03779347], [-0.076556], [-0.058836], [-0.04517682], [-0.11421105], [-0.10978104], [-0.01342845], [-0.11421105], [-0.0219193], [-0.11494938], [-0.09501437], [-0.03004096], [-0.10498187], [-0.11310355], [-0.03004096], [-0.10978104], [-0.11162689], [-0.11310355], [-0.00456844], [-0.0710185], [-0.0219193], [-0.06511183], [-0.10202853], [-0.08652352], [-0.09095352], [-0.10756604], [-0.09501437], [-0.11531854], [-0.076556], [-0.10202853], [-0.05219099], [-0.09095352], [-0.08172435], [-0.0710185], [-0.10756604], [-0.11162689], [-0.08172435], [-0.00456844]]""","""[[-0.15567796], [-0.05960741], [-0.08231499], [-0.13646385], [-0.09279542], [-0.10269358], [-0.02117919], [-0.07125233], [-0.16557613], [-0.18129675], [-0.18187901], [-0.15567796], [-0.05960741], [-0.1207432], [-0.09279542], [-0.07125233], [-0.18013227], [-0.17314532], [-0.02117919], [-0.18013227], [-0.03457085], [-0.18129675], [-0.14985551], [-0.04738024], [-0.16557613], [-0.17838554], [-0.04738024], [-0.17314532], [-0.17605656], [-0.17838554], [-0.00720528], [-0.11200952], [-0.03457085], [-0.10269358], [-0.16091816], [-0.13646385], [-0.1434508], [-0.16965185], [-0.14985551], [-0.18187901], [-0.1207432], [-0.16091816], [-0.08231499], [-0.1434508], [-0.12889464], [-0.11200952], [-0.16965185], [-0.17605656], [-0.12889464], [-0.00720528]]""",NA,NA,NA,NA,NA,NA,NA
