epoch,DE,E,I,loss,mse_odd_even_sol,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol
0,0.07266280800104141,"""[41.726524]""","""[7.072865e-05]""",83.29490661621094,0.9646568298339844,NA,NA,NA,NA,NA
1,0.3969970643520355,"""[12.979211]""","""[0.0007537934]""",3791.623779296875,0.9612215161323547,NA,NA,NA,NA,NA
2,1.5779762268066406,"""[26.682653]""","""[0.0014887751]""",1174.0966796875,0.9291491508483887,NA,NA,NA,NA,NA
3,2.998398542404175,"""[39.361313]""","""[0.0027457986]""",41.8087043762207,0.8902683854103088,NA,NA,NA,NA,NA
4,4.486457347869873,"""[43.365486]""","""[0.004639982]""",344.6681213378906,0.8564627170562744,NA,NA,NA,NA,NA
5,6.258312225341797,"""[43.915333]""","""[0.006818504]""",604.4771728515625,0.8299154043197632,NA,NA,NA,NA,NA
6,8.212620735168457,"""[43.746754]""","""[0.009012903]""",250.79867553710938,0.8089365363121033,NA,NA,NA,NA,NA
7,10.300350189208984,"""[43.27676]""","""[0.011199587]""",185.11082458496094,0.7917837500572205,NA,NA,NA,NA,NA
8,12.574407577514648,"""[42.425495]""","""[0.013396541]""",352.2477111816406,0.7780264019966125,NA,NA,NA,NA,NA
9,15.157456398010254,"""[40.971325]""","""[0.015658975]""",266.69464111328125,0.7679731249809265,NA,NA,NA,NA,NA
10,17.605222702026367,"""[40.028545]""","""[0.018030224]""",377.45751953125,0.7572740912437439,NA,NA,NA,NA,NA
11,19.743227005004883,"""[39.82502]""","""[0.020409511]""",148.85614013671875,0.7449509501457214,NA,NA,NA,NA,NA
12,21.630615234375,"""[39.96979]""","""[0.02273798]""",40.92483901977539,0.7322745323181152,NA,NA,NA,NA,NA
13,23.402864456176758,"""[40.084423]""","""[0.024987984]""",43.691123962402344,0.7207417488098145,NA,NA,NA,NA,NA
14,25.087932586669922,"""[40.128246]""","""[0.027144458]""",67.69495391845703,0.7104980945587158,NA,NA,NA,NA,NA
15,26.561838150024414,"""[40.309574]""","""[0.029217068]""",66.08528900146484,0.700350821018219,NA,NA,NA,NA,NA
16,27.824899673461914,"""[40.592743]""","""[0.031204639]""",43.234230041503906,0.6903269290924072,NA,NA,NA,NA,NA
17,28.959592819213867,"""[40.859196]""","""[0.033102263]""",139.26792907714844,0.6809771060943604,NA,NA,NA,NA,NA
18,29.79999351501465,"""[41.295494]""","""[0.034946125]""",175.685546875,0.671049177646637,NA,NA,NA,NA,NA
19,30.812299728393555,"""[41.420307]""","""[0.036662787]""",48.73165512084961,0.6635265946388245,NA,NA,NA,NA,NA
20,31.689062118530273,"""[41.57189]""","""[0.038288966]""",54.65727615356445,0.6563376784324646,NA,NA,NA,NA,NA
21,32.41350555419922,"""[41.763874]""","""[0.03983401]""",43.19191360473633,0.6493170261383057,NA,NA,NA,NA,NA
22,33.06174850463867,"""[41.936543]""","""[0.04129294]""",98.68692016601562,0.6428143978118896,NA,NA,NA,NA,NA
23,33.49126052856445,"""[42.19636]""","""[0.042704087]""",124.34831237792969,0.6359884738922119,NA,NA,NA,NA,NA
24,34.10358428955078,"""[42.272762]""","""[0.043989394]""",223.21546936035156,0.6308518052101135,NA,NA,NA,NA,NA
25,34.96562576293945,"""[42.146328]""","""[0.04510894]""",186.09022521972656,0.6277197003364563,NA,NA,NA,NA,NA
26,36.07649612426758,"""[41.834476]""","""[0.04611256]""",60.257545471191406,0.6263150572776794,NA,NA,NA,NA,NA
27,37.03341293334961,"""[41.598137]""","""[0.04708798]""",43.34737014770508,0.6245816349983215,NA,NA,NA,NA,NA
28,37.910762786865234,"""[41.388546]""","""[0.048009418]""",152.48822021484375,0.6229198575019836,NA,NA,NA,NA,NA
29,39.04085159301758,"""[40.98275]""","""[0.048839424]""",45.08673858642578,0.6229719519615173,NA,NA,NA,NA,NA
30,40.18111038208008,"""[40.54532]""","""[0.049642548]""",91.81903076171875,0.623406171798706,NA,NA,NA,NA,NA
31,41.48093795776367,"""[39.963264]""","""[0.050413292]""",40.87338638305664,0.6250329613685608,NA,NA,NA,NA,NA
32,42.72160339355469,"""[39.3963]""","""[0.05118797]""",307.2228088378906,0.6266395449638367,NA,NA,NA,NA,NA
33,43.34228515625,"""[39.301968]""","""[0.051975235]""",97.24444580078125,0.624935507774353,NA,NA,NA,NA,NA
34,43.6688346862793,"""[39.41076]""","""[0.052722476]""",138.21746826171875,0.621924638748169,NA,NA,NA,NA,NA
35,43.68409729003906,"""[39.728367]""","""[0.05346275]""",61.95829772949219,0.6174301505088806,NA,NA,NA,NA,NA
36,43.85041046142578,"""[39.896587]""","""[0.054147243]""",146.72657775878906,0.6141745448112488,NA,NA,NA,NA,NA
37,43.66688537597656,"""[40.279423]""","""[0.054843895]""",94.36492919921875,0.6093057990074158,NA,NA,NA,NA,NA
38,43.259952545166016,"""[40.766026]""","""[0.055567067]""",83.36236572265625,0.603563666343689,NA,NA,NA,NA,NA
39,43.12556457519531,"""[41.04828]""","""[0.056256346]""",121.77247619628906,0.5994052886962891,NA,NA,NA,NA,NA
40,42.734195709228516,"""[41.4459]""","""[0.05697867]""",45.47342300415039,0.5942559242248535,NA,NA,NA,NA,NA
41,42.474666595458984,"""[41.739822]""","""[0.05768063]""",66.96170806884766,0.5899162888526917,NA,NA,NA,NA,NA
42,42.44462585449219,"""[41.895744]""","""[0.058322657]""",45.73127365112305,0.586794912815094,NA,NA,NA,NA,NA
43,42.482147216796875,"""[42.00231]""","""[0.05891155]""",51.59912872314453,0.5842093825340271,NA,NA,NA,NA,NA
44,42.42230987548828,"""[42.13912]""","""[0.059481706]""",62.247100830078125,0.5814374685287476,NA,NA,NA,NA,NA
45,42.238121032714844,"""[42.315105]""","""[0.060047276]""",50.21160888671875,0.5783559679985046,NA,NA,NA,NA,NA
46,42.17555618286133,"""[42.42621]""","""[0.060565986]""",186.93179321289062,0.5759203433990479,NA,NA,NA,NA,NA
47,42.51445007324219,"""[42.369263]""","""[0.06099021]""",117.82071685791016,0.5751286149024963,NA,NA,NA,NA,NA
48,42.530189514160156,"""[42.434155]""","""[0.061432585]""",99.28025817871094,0.5732960104942322,NA,NA,NA,NA,NA
49,42.78761672973633,"""[42.399708]""","""[0.061814826]""",273.0285949707031,0.5724561810493469,NA,NA,NA,NA,NA
50,43.5521240234375,"""[42.161774]""","""[0.062121216]""",127.6075439453125,0.5735073089599609,NA,NA,NA,NA,NA
