epoch,DE,E,I,loss,mse_odd_even_sol,val_DE,val_E,val_I,val_loss,val_mse_odd_even_sol
0,0.056946173310279846,"""[41.813995]""","""[5.3537176e-05]""",42.81388854980469,0.9760782122612,NA,NA,NA,NA,NA
1,0.25323617458343506,"""[11.437839]""","""[0.00063079747]""",12.436577796936035,0.9339917898178101,NA,NA,NA,NA,NA
2,0.23547926545143127,"""[11.751082]""","""[0.0013680544]""",12.748348236083984,0.9136171936988831,NA,NA,NA,NA,NA
3,0.38023245334625244,"""[11.060448]""","""[0.0026095323]""",12.055234909057617,0.8879966139793396,NA,NA,NA,NA,NA
4,0.3253147006034851,"""[9.210948]""","""[0.004059631]""",10.202845573425293,0.8626362681388855,NA,NA,NA,NA,NA
5,0.28623202443122864,"""[8.1096525]""","""[0.0056928457]""",9.098299026489258,0.8394841551780701,NA,NA,NA,NA,NA
6,0.34905463457107544,"""[7.610984]""","""[0.007439865]""",8.596159934997559,0.8189888000488281,NA,NA,NA,NA,NA
7,0.509783148765564,"""[7.430475]""","""[0.009230906]""",8.41209888458252,0.8010013699531555,NA,NA,NA,NA,NA
8,0.7346065044403076,"""[7.395238]""","""[0.011015342]""",8.37332820892334,0.7851881384849548,NA,NA,NA,NA,NA
9,0.9875514507293701,"""[7.4168754]""","""[0.012762254]""",8.39151382446289,0.7711920142173767,NA,NA,NA,NA,NA
10,1.2391856908798218,"""[7.4525266]""","""[0.0144557245]""",8.423824310302734,0.7586891651153564,NA,NA,NA,NA,NA
11,1.4684098958969116,"""[7.4826245]""","""[0.016089916]""",8.450703620910645,0.7474057078361511,NA,NA,NA,NA,NA
12,1.6620858907699585,"""[7.499743]""","""[0.017665068]""",8.46472454071045,0.7371193766593933,NA,NA,NA,NA,NA
13,1.8139581680297852,"""[7.502908]""","""[0.019184548]""",8.4649076461792,0.7276568412780762,NA,NA,NA,NA,NA
14,1.9233049154281616,"""[7.494471]""","""[0.020652842]""",8.453592300415039,0.7188868522644043,NA,NA,NA,NA,NA
15,1.993498682975769,"""[7.4782314]""","""[0.022074232]""",8.4345703125,0.7107127904891968,NA,NA,NA,NA,NA
16,2.030607223510742,"""[7.4582567]""","""[0.023452085]""",8.41190242767334,0.7030653953552246,NA,NA,NA,NA,NA
17,2.042128801345825,"""[7.438164]""","""[0.024788508]""",8.389202117919922,0.6958955526351929,NA,NA,NA,NA,NA
18,2.035936117172241,"""[7.4207015]""","""[0.02608434]""",8.369213104248047,0.6891677975654602,NA,NA,NA,NA,NA
19,2.0194571018218994,"""[7.4076076]""","""[0.027339248]""",8.353676795959473,0.6828560829162598,NA,NA,NA,NA,NA
20,1.999120831489563,"""[7.3996086]""","""[0.028552055]""",8.3433198928833,0.6769393682479858,NA,NA,NA,NA,NA
21,1.980043649673462,"""[7.396561]""","""[0.029721009]""",8.33800220489502,0.6713989973068237,NA,NA,NA,NA,NA
22,1.965940237045288,"""[7.397667]""","""[0.030844148]""",8.336930274963379,0.6662167906761169,NA,NA,NA,NA,NA
23,1.9592126607894897,"""[7.40171]""","""[0.031919636]""",8.338890075683594,0.6613742113113403,NA,NA,NA,NA,NA
